Domain,Type,Sponsoring Organisation,Date
.scholarships,generic,"Scholarships.com, LLC",2024-02-19
.school,generic,"Little Galley, LLC",2024-02-19
.schule,generic,"Outer Moon, LLC",2024-02-19
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2024-02-19
.science,generic,dot Science Limited,2024-02-19
.scot,generic,Dot Scot Registry Limited,2024-02-19
.services,generic,"Fox Castle, LLC",2024-02-19
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2024-02-19
.sexy,generic,"Uniregistry, Corp.",2024-02-19
.shiksha,generic,Afilias Limited,2024-02-19
.shoes,generic,"Binky Galley, LLC",2024-02-19
.shriram,generic,Shriram Capital Ltd.,2024-02-19
.singles,generic,"Fern Madison, LLC",2024-02-19
.site,generic,DotSite Inc.,2024-02-19
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2024-02-19
.social,generic,United TLD Holdco Ltd.,2024-02-19
.software,generic,"United TLD Holdco, Ltd",2024-02-19
.sohu,generic,Sohu.com Limited,2024-02-19
.solar,generic,"Ruby Town, LLC",2024-02-19
.solutions,generic,"Silver Cover, LLC",2024-02-19
.soy,generic,Charleston Road Registry Inc.,2024-02-19
.space,generic,DotSpace Inc.,2024-02-19
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2024-02-19
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2024-02-19
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2024-02-19
.style,generic,"Binky Moon, LLC",2024-02-19
.sucks,generic,Vox Populi Registry Inc.,2024-02-19
.supplies,generic,"Atomic Fields, LLC",2024-02-19
.supply,generic,"Half Falls, LLC",2024-02-19
.support,generic,"Grand Orchard, LLC",2024-02-19
.surf,generic,Top Level Domain Holdings Limited,2024-02-19
.surgery,generic,"Tin Avenue, LLC",2024-02-19
.suzuki,generic,SUZUKI MOTOR CORPORATION,2024-02-19
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2024-02-19
.systems,generic,"Dash Cypress, LLC",2024-02-19
.taipei,generic,Taipei City Government,2024-02-19
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2024-02-19
.tattoo,generic,"Uniregistry, Corp.",2024-02-19
.tax,generic,"Storm Orchard, LLC",2024-02-19
.tech,generic,Dot Tech LLC,2024-02-19
.technology,generic,"Auburn Falls, LLC",2024-02-19
.temasek,generic,Temasek Holdings (Private) Limited,2024-02-19
.tennis,generic,"Cotton Bloom, LLC",2024-02-19
.tickets,generic,Accent Media Limited,2024-02-19
.tienda,generic,"Victor Manor, LLC",2024-02-19
.tips,generic,"Corn Willow, LLC",2024-02-19
.tires,generic,"Dog Edge, LLC",2024-02-19
.tirol,generic,punkt Tirol GmbH,2024-02-19
.today,generic,"Pearl Woods, LLC",2024-02-19
.tokyo,generic,"GMO Registry, Inc.",2024-02-19
.tools,generic,"Pioneer North, LLC",2024-02-19
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2024-02-19
.toshiba,generic,TOSHIBA Corporation,2024-02-19
.tours,generic,"Sugar Station, LLC",2024-02-19
.town,generic,"Koko Moon, LLC",2024-02-19
.toys,generic,"Pioneer Orchard, LLC",2024-02-19
.trade,generic,Elite Registry Limited,2024-02-19
