Domain,Type,Sponsoring Organisation,Date
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2024-02-22
.mortgage,generic,"United TLD Holdco, Ltd",2024-02-22
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-02-22
.motorcycles,generic,"DERMotorcycles, LLC",2024-02-22
.mov,generic,Charleston Road Registry Inc.,2024-02-22
.movie,generic,"New Frostbite, LLC",2024-02-22
.mtn,generic,MTN Dubai Limited,2024-02-22
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2024-02-22
.nagoya,generic,"GMO Registry, Inc.",2024-02-22
.navy,generic,United TLD Holdco Ltd.,2024-02-22
.net,generic,VeriSign Global Registry Services,2024-02-22
.network,generic,"Trixy Manor, LLC",2024-02-22
.neustar,generic,"NeuStar, Inc.",2024-02-22
.new,generic,Charleston Road Registry Inc.,2024-02-22
.news,generic,United TLD Holdco Ltd.,2024-02-22
.nexus,generic,Charleston Road Registry Inc.,2024-02-22
.ngo,generic,Public Interest Registry,2024-02-22
.nhk,generic,Japan Broadcasting Corporation (NHK),2024-02-22
.nico,generic,"DWANGO Co., Ltd.",2024-02-22
.ninja,generic,United TLD Holdco Ltd.,2024-02-22
.nissan,generic,"NISSAN MOTOR CO., LTD.",2024-02-22
.nra,generic,"NRA Holdings Company, INC.",2024-02-22
.nrw,generic,Minds + Machines GmbH,2024-02-22
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2024-02-22
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2024-02-22
.okinawa,generic,BusinessRalliart inc.,2024-02-22
.one,generic,One.com A/S,2024-02-22
.ong,generic,Public Interest Registry,2024-02-22
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-02-22
.online,generic,DotOnline Inc.,2024-02-22
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2024-02-22
.org,generic,Public Interest Registry (PIR),2024-02-22
.organic,generic,Afilias Limited,2024-02-22
.osaka,generic,"Interlink Co., Ltd.",2024-02-22
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2024-02-22
.ovh,generic,OVH SAS,2024-02-22
.page,generic,Charleston Road Registry Inc.,2024-02-22
.panerai,generic,Richemont DNS Inc.,2024-02-22
.paris,generic,City of Paris,2024-02-22
.partners,generic,"Magic Glen, LLC",2024-02-22
.parts,generic,"Sea Goodbye, LLC",2024-02-22
.party,generic,Blue Sky Registry Limited,2024-02-22
.pharmacy,generic,National Association of Boards of Pharmacy,2024-02-22
.photo,generic,"Uniregistry, Corp.",2024-02-22
.photography,generic,"Sugar Glen, LLC",2024-02-22
.photos,generic,"Sea Corner, LLC",2024-02-22
.physio,generic,PhysBiz Pty Ltd,2024-02-22
.piaget,generic,Richemont DNS Inc.,2024-02-22
.pics,generic,"Uniregistry, Corp.",2024-02-22
.pictet,generic,Pictet Europe S.A.,2024-02-22
.pictures,generic,"Foggy Sky, LLC",2024-02-22
.pink,generic,Afilias Limited,2024-02-22
.pizza,generic,"Foggy Moon, LLC",2024-02-22
.place,generic,"Snow Galley, LLC",2024-02-22
.plumbing,generic,"Spring Tigers, LLC",2024-02-22
.plus,generic,"Sugar Mill, LLC",2024-02-22
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-22
.poker,generic,Afilias Domains No. 5 Limited,2024-02-22
.porn,generic,ICM Registry PN LLC,2024-02-22
.praxi,generic,Praxi S.p.A.,2024-02-22
.press,generic,DotPress Inc.,2024-02-22
.prod,generic,Charleston Road Registry Inc.,2024-02-22
.productions,generic,"Magic Birch, LLC",2024-02-22
.prof,generic,Charleston Road Registry Inc.,2024-02-22
.properties,generic,"Big Pass, LLC",2024-02-22
.property,generic,"Uniregistry, Corp.",2024-02-22
.pub,generic,United TLD Holdco Ltd.,2024-02-22
.qpon,generic,"dotCOOL, Inc.",2024-02-22
.quebec,generic,PointQuébec Inc,2024-02-22
.racing,generic,Premier Registry Limited,2024-02-22
.realtor,generic,Real Estate Domains LLC,2024-02-22
.recipes,generic,"Grand Island, LLC",2024-02-22
.red,generic,Afilias Limited,2024-02-22
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2024-02-22
.rehab,generic,United TLD Holdco Ltd.,2024-02-22
